#Gen gab gaB gAb gAB D D_prime r sigma2 sk2 delta X2 OR logOR dev_ab dev_aB dev_Ab dev_AB log_dev_ab log_dev_aB log_dev_Ab log_dev_AB recomb_diff anst_diff recomb_diff_pro anst_diff_pro pA pB ds_recomb ds_anst recomb
1 0 0.5 0.5 0 -0.25 -1 -1 0.5 1 0.5 1 0 -Inf -0.0625 0.1875 0.1875 -0.0625 0.865964323360065 1.53992652605949 1.53992652605949 0.865964323360065 0 0 0 0 0.5 0.5 -0.000749999812500013 -0.000249999854166738 0.1
2 0.0249999937687079 0.47524963179295 0.474750380669635 0.0249999937687079 -0.224999943918371 -0.9 -0.9 0.499999999999969 0.90500002243259 0.405000022432621 0.810000044865292 0.00277008241395779 -5.88887820689415 -0.0618749691551079 0.16323730623801 0.163012643288516 -0.0618749691551079 0.867211504950524 1.45625458665922 1.45550145288396 0.867211504950524 3.08395361486162e-17 -0.000499251123315104 1.1214379576518e-16 0.000688622173950399 0.499750374438342 0.500249625561658 -0.00149999850000215 -0.000499998833335402 0.1
3 0.0483851269633778 0.458408592781314 0.457422711382978 0.0357835688723305 -0.207955108908193 -0.853188795483038 -0.831953358099674 0.499999986927883 0.845831321519106 0.345831334591223 0.691662687265436 0.00825705284447161 -4.7966875536071 -0.0633691960154306 0.147411490351561 0.147001452204438 -0.0581280792449573 0.864232917472687 1.40414348857251 1.40281839533234 0.874725768868829 0.0126015580910473 -0.000985881398336504 0.0431377309428609 0.00139273139136968 0.493206280255308 0.494192161653645 -0.00224999493751676 -0.00074999606251569 0.1
4 0.0708469106770272 0.445362410518121 0.443892941553379 0.0398977372514734 -0.194866599034921 -0.83005196665476 -0.780215414496798 0.499999535053101 0.803038536612118 0.303039001559018 0.606078566706736 0.0142980688851216 -4.24763079383389 -0.0655843844909631 0.135599525131884 0.135026824292791 -0.0535224641542039 0.859835982400906 1.3664681866102 1.36466742296503 0.884051439903145 0.0309491734255538 -0.00146946896474156 0.101269746231748 0.00211620501961695 0.483790678804852 0.485260147769594 -0.0029999880000704 -0.000999990666732842 0.1
5 0.0926245997780417 0.434251293534925 0.432298764760396 0.0408253419266374 -0.183944866833996 -0.818368536685776 -0.737761830420401 0.499996369622964 0.768710670635362 0.268714301012398 0.537432504190038 0.020143320361921 -3.90488254123259 -0.0679113533780245 0.125920878688968 0.125202563398127 -0.0488549382028717 0.855241263829336 1.33635203300858 1.33414355758525 0.893603912906095 0.0517992578514045 -0.0019525287745297 0.163201339334738 0.00286040715622118 0.473124106687033 0.475076635461563 -0.00374997656271481 -0.00124998177103508 0.1
6 0.113793771028653 0.424199718682548 0.421764595551456 0.0402419147373428 -0.174333143551811 -0.812457631104943 -0.701129801995871 0.49998527036677 0.739353282498803 0.239368012132033 0.478750127891652 0.0255950881450258 -3.66535481524083 -0.0700680965807363 0.117512095962788 0.11666305062203 -0.044423043938066 0.851004591776484 1.31072654819202 1.30816658209222 0.90276966216993 0.0735518562913103 -0.00243512313109214 0.223991590322735 0.00362568510424958 0.462006510288799 0.464441633419891 -0.00449995950053461 -0.00149996850050216 0.1
7 0.134373249384161 0.41478758615875 0.411871024860953 0.0389681395961357 -0.165602712670817 -0.809512747469592 -0.668501431910525 0.499958343255996 0.713328692521683 0.213370349265688 0.426776254749757 0.0306503544350608 -3.485111052717 -0.0719294076607517 0.109955640456205 0.108989659531034 -0.0403307176936435 0.847365137801656 1.28811797451132 1.28525605787715 0.911316602332117 0.0954051097880253 -0.00291656129779705 0.281477415666106 0.00441197379084238 0.450839164457089 0.453755725754886 -0.00524993568865539 -0.00174994998025213 0.1
8 0.154365329708179 0.40581140900428 0.402415389897884 0.0374078713896568 -0.157530277978721 -0.808103895974889 -0.638867786834519 0.499905968490187 0.689820087142156 0.189914118651968 0.379899682385361 0.035360136035031 -3.34217019407555 -0.0734502150784662 0.103039379654708 0.101969427987005 -0.036601533237263 0.844403033673805 1.26776681540971 1.2646473199178 0.919175556622861 0.116957458318523 -0.00339601910639667 0.334830499334617 0.00521905219591028 0.43982326128754 0.443219280393937 -0.00599990400225281 -0.00199992533544957 0.1
9 0.17377018898562 0.397171832016894 0.393299089056493 0.0357588899409936 -0.14999349066818 -0.807491619629732 -0.61163334518164 0.499817746508883 0.668383347681469 0.168565601172586 0.337254133831741 0.0397793718863969 -3.2244067953643 -0.0746268416828705 0.0966483317157546 0.0954865592455722 -0.0332252486921633 0.842118403243953 1.2492470475626 1.24590967766235 0.926349243761999 0.138011299044626 -0.00387274296040107 0.38387381131642 0.00604665016525395 0.429057978997486 0.432930721957887 -0.00674986331655947 -0.00224989369131334 0.1
10 0.192590351187309 0.388819586515068 0.384473488036363 0.0341165742612599 -0.142920299626021 -0.807291139342068 -0.586420165505998 0.499683221782074 0.648746550225398 0.149063328443324 0.298315656690859 0.0439526848676036 -3.12464156757908 -0.075476353438733 0.0907142115652066 0.0894719201716452 -0.0301781140764569 0.840472768099865 1.23229365282206 1.22877373617676 0.932871630390185 0.158473776926049 -0.00434609847870486 0.428739460125183 0.00689448950142099 0.418590062297623 0.422936160776328 -0.0074998125068747 -0.00249985417312482 0.1
